0.01	1028890.00	1014.34
0.01	1070970.00	1034.88
0.01	1090720.00	1044.38
0.01	1181760.00	1087.09
0.01	1196360.00	1093.78
0.01	1261630.00	1123.22
0.01	1245310.00	1115.93
0.01	1345800.00	1160.09
0.01	1358680.00	1165.62
0.01	1413640.00	1188.97
0.01	1515850.00	1231.20
0.01	1491800.00	1221.39
0.01	1504680.00	1226.65
0.01	1612040.00	1269.66
0.01	1602590.00	1265.93
0.01	1648110.00	1283.79
0.01	1699640.00	1303.70
0.01	1671290.00	1292.78
0.01	1679880.00	1296.10
0.01	1798400.00	1341.04
0.01	1821590.00	1349.66
0.01	1826740.00	1351.57
0.01	1922080.00	1386.39
0.01	1928950.00	1388.87
0.01	1948700.00	1395.96
0.01	1971030.00	1403.93
0.01	2102430.00	1449.98
0.01	2059490.00	1435.09
0.01	2099000.00	1448.79
0.01	2073230.00	1439.87
0.01	2092120.00	1446.42
0.01	2196040.00	1481.90
0.02	2161690.00	1470.27
0.02	2172860.00	1474.06
0.02	2205490.00	1485.09
0.02	2292230.00	1514.01
0.02	2237270.00	1495.75
0.02	2300820.00	1516.85
0.02	2327450.00	1525.60
0.02	2311990.00	1520.52
0.02	2360080.00	1536.26
0.02	2379830.00	1542.67
0.02	2354930.00	1534.58
0.02	2396150.00	1547.95
0.02	2411610.00	1552.94
0.02	2479460.00	1574.63
0.02	2441670.00	1562.58
0.02	2448540.00	1564.78
0.02	2512950.00	1585.23
0.02	2518110.00	1586.86
0.02	2585960.00	1608.09
0.02	2603130.00	1613.42
0.02	2579080.00	1605.95
0.02	2557610.00	1599.25
0.02	2505220.00	1582.79
0.02	2549880.00	1596.83
0.02	2537860.00	1593.07
0.02	2610860.00	1615.82
0.02	2635770.00	1623.51
0.02	2681290.00	1637.46
0.02	2670980.00	1634.31
0.02	2627180.00	1620.86
0.02	2688160.00	1639.56
0.02	2690730.00	1640.34
0.02	2777480.00	1666.58
0.02	2717360.00	1648.44
0.02	2677850.00	1636.41
0.03	2752570.00	1659.09
0.03	2709630.00	1646.10
0.03	2767170.00	1663.48
0.03	2876240.00	1695.95
0.03	2963840.00	1721.58
0.03	2790360.00	1670.44
0.03	2823850.00	1680.43
0.03	2902010.00	1703.53
0.03	2754290.00	1659.61
0.03	2832440.00	1682.99
0.03	2874520.00	1695.44
0.03	2879680.00	1696.96
0.03	2810110.00	1676.34
0.03	2810970.00	1676.59
0.03	2792080.00	1670.95
0.03	2835880.00	1684.01
0.03	2846180.00	1687.06
0.03	2924340.00	1710.07
0.03	2732820.00	1653.12
0.03	2839310.00	1685.03
0.03	2854770.00	1689.61
0.03	2862500.00	1691.89
0.03	2871950.00	1694.68
0.03	2857350.00	1690.37
0.03	2897710.00	1702.27
0.03	2946670.00	1716.59
0.03	2834160.00	1683.50
0.03	2934640.00	1713.08
0.03	2952680.00	1718.34
0.03	2900290.00	1703.02
0.03	2927770.00	1711.07
0.03	2950100.00	1717.59
0.03	2893420.00	1701.01
0.03	2923480.00	1709.82
0.03	2840170.00	1685.28
0.04	2927770.00	1711.07
0.04	2856490.00	1690.12
0.04	2902870.00	1703.78
0.04	2978440.00	1725.82
0.04	2925200.00	1710.32
0.04	2914030.00	1707.05
0.04	3011940.00	1735.49
0.04	2955250.00	1719.08
0.04	2953540.00	1718.59
0.04	2933780.00	1712.83
0.04	2917470.00	1708.06
0.04	2956110.00	1719.33
0.04	2923480.00	1709.82
0.04	2904580.00	1704.28
0.04	2947530.00	1716.84
0.04	2836740.00	1684.26
0.04	3003350.00	1733.02
0.04	2899430.00	1702.77
0.04	2940650.00	1714.83
0.04	2816980.00	1678.39
0.04	2967280.00	1722.58
0.04	2932070.00	1712.33
0.04	2955250.00	1719.08
0.04	2938080.00	1714.08
0.04	3077210.00	1754.20
0.04	2940650.00	1714.83
0.04	3007640.00	1734.25
0.04	2920900.00	1709.06
0.04	2992180.00	1729.79
0.04	2987890.00	1728.55
0.04	2901150.00	1703.28
0.04	2993900.00	1730.29
0.04	3014510.00	1736.23
0.04	2935500.00	1713.33
0.04	2918320.00	1708.31
0.05	2978440.00	1725.82
0.05	2979300.00	1726.06
0.05	2994760.00	1730.54
0.05	2910600.00	1706.05
0.05	2947530.00	1716.84
0.05	2981020.00	1726.56
0.05	2971570.00	1723.82
0.05	2978440.00	1725.82
0.05	2963840.00	1721.58
0.05	2986170.00	1728.05
0.05	2921760.00	1709.32
0.05	2853910.00	1689.35
0.05	3019670.00	1737.72
0.05	2919180.00	1708.56
0.05	2934640.00	1713.08
0.05	2890840.00	1700.25
0.05	2895140.00	1701.51
0.05	2847900.00	1687.57
0.05	2909740.00	1705.80
0.05	2890840.00	1700.25
0.05	2853910.00	1689.35
0.05	2852190.00	1688.84
0.05	2834160.00	1683.50
0.05	2942370.00	1715.33
0.05	2842750.00	1686.05
0.05	2768890.00	1664.00
0.05	2837590.00	1684.51
0.05	2698460.00	1642.70
0.05	2715640.00	1647.92
0.05	2783490.00	1668.38
0.05	2712200.00	1646.88
0.05	2719070.00	1648.96
0.05	2706190.00	1645.05
0.05	2684720.00	1638.51
0.05	2573930.00	1604.35
0.05	2474310.00	1572.99
0.06	2417620.00	1554.87
0.06	2344620.00	1531.22
0.06	2217510.00	1489.13
0.06	2108440.00	1452.05
0.06	1955570.00	1398.42
0.06	1721110.00	1311.91
0.06	1532160.00	1237.80
0.06	1352670.00	1163.04
0.06	1221260.00	1105.11
0.06	1046920.00	1023.19
0.06	955026.00	977.25
0.06	848530.00	921.16
0.06	786694.00	886.96
0.06	693940.00	833.03
